"code","post_code","tambon","amphur","province","reg_code","order","area"
"100000",,"","",กรุงเทพมหานคร,BKK,1,C
"100100","10200","",พระนคร,กรุงเทพมหานคร,BKK,1,C
"100101","10200",พระบรมมหาราชวัง,พระนคร,กรุงเทพมหานคร,BKK,1,C
"100102","10200",วังบูรพาภิรมย์,พระนคร,กรุงเทพมหานคร,BKK,1,C
"100103","10200",วัดราชบพิธ,พระนคร,กรุงเทพมหานคร,BKK,1,C
"100104","10200",สำราญราษฎร์,พระนคร,กรุงเทพมหานคร,BKK,1,C
"100105","10200",ศาลเจ้าพ่อเสือ,พระนคร,กรุงเทพมหานคร,BKK,1,C
"100106","10200",เสาชิงช้า,พระนคร,กรุงเทพมหานคร,BKK,1,C
"100107","10200",บวรนิเวศ,พระนคร,กรุงเทพมหานคร,BKK,1,C
"100108","10200",ตลาดยอด,พระนคร,กรุงเทพมหานคร,BKK,1,C
"100109","10200",ชนะสงคราม,พระนคร,กรุงเทพมหานคร,BKK,1,C
"100110","10200",บ้านพานถม,พระนคร,กรุงเทพมหานคร,BKK,1,C
"100111","10200",บางขุนพรหม,พระนคร,กรุงเทพมหานคร,BKK,1,C
"100112","10200",วัดสามพระยา,พระนคร,กรุงเทพมหานคร,BKK,1,C
"100200","10300","",ดุสิต,กรุงเทพมหานคร,BKK,1,C
"100201","10300",ดุสิต,ดุสิต,กรุงเทพมหานคร,BKK,1,C
"100202","10300",วชิรพยาบาล,ดุสิต,กรุงเทพมหานคร,BKK,1,C
"100203","10300",สวนจิตรลดา,ดุสิต,กรุงเทพมหานคร,BKK,1,C
"100204","10300",สี่แยกมหานาค,ดุสิต,กรุงเทพมหานคร,BKK,1,C
"100205","10300",บางซื่อ,เขตดุสิต,กรุงเทพมหานคร,BKK,1,C
"100206","10300",ถนนนครไชยศรี,ดุสิต,กรุงเทพมหานคร,BKK,1,C
"100299","10300",สามเสนใน,เขตดุสิต,กรุงเทพมหานคร,BKK,1,C
"100300","10530","",หนองจอก,กรุงเทพมหานคร,BKK,1,C
"100301","10530",กระทุ่มราย,หนองจอก,กรุงเทพมหานคร,BKK,1,C
"100302","10530",หนองจอก,หนองจอก,กรุงเทพมหานคร,BKK,1,C
"100303","10530",คลองสิบ,หนองจอก,กรุงเทพมหานคร,BKK,1,C
"100304","10530",คลองสิบสอง,หนองจอก,กรุงเทพมหานคร,BKK,1,C
"100305","10530",โคกแฝด,หนองจอก,กรุงเทพมหานคร,BKK,1,C
"100306","10530",คู้ฝั่งเหนือ,หนองจอก,กรุงเทพมหานคร,BKK,1,C
"100307","10530",ลำผักชี,หนองจอก,กรุงเทพมหานคร,BKK,1,C
"100308","10530",ลำต้อยติ่ง,หนองจอก,กรุงเทพมหานคร,BKK,1,C
"100400","10500","",บางรัก,กรุงเทพมหานคร,BKK,1,C
"100401","10500",มหาพฤฒาราม,บางรัก,กรุงเทพมหานคร,BKK,1,C
"100402","10500",สีลม,บางรัก,กรุงเทพมหานคร,BKK,1,C
"100403","10500",สุริยวงศ์,บางรัก,กรุงเทพมหานคร,BKK,1,C
"100404","10500",บางรัก,บางรัก,กรุงเทพมหานคร,BKK,1,C
"100405","10500",สี่พระยา,บางรัก,กรุงเทพมหานคร,BKK,1,C
"100500","10220","",บางเขน,กรุงเทพมหานคร,BKK,1,C
"100501","10220",ลาดยาว,เขตบางเขน,กรุงเทพมหานคร,BKK,1,C
"100502","10220",อนุสาวรีย์,บางเขน,กรุงเทพมหานคร,BKK,1,C
"100503","10220",คลองถนน,เขตบางเขน,กรุงเทพมหานคร,BKK,1,C
"100504","10220",ตลาดบางเขน,เขตบางเขน,กรุงเทพมหานคร,BKK,1,C
"100505","10220",สีกัน,เขตบางเขน,กรุงเทพมหานคร,BKK,1,C
"100506","10220",สายไหม,เขตบางเขน,กรุงเทพมหานคร,BKK,1,C
"100507","10220",ทุ่งสองห้อง,เขตบางเขน,กรุงเทพมหานคร,BKK,1,C
"100508","10220",ท่าแร้ง,บางเขน,กรุงเทพมหานคร,BKK,1,C
"100509","10220",ออเงิน,เขตบางเขน,กรุงเทพมหานคร,BKK,1,C
"100599","10220",บางเขน,เขตบางเขน,กรุงเทพมหานคร,BKK,1,C
"100600","10240","",บางกะปิ,กรุงเทพมหานคร,BKK,1,C
"100601","10240",คลองจั่น,บางกะปิ,กรุงเทพมหานคร,BKK,1,C
"100602","10240",วังทองหลาง,เขตบางกะปิ,กรุงเทพมหานคร,BKK,1,C
"100603","10240",ลาดพร้าว,เขตบางกะปิ,กรุงเทพมหานคร,BKK,1,C
"100604","10240",คลองกุ่ม,เขตบางกะปิ,กรุงเทพมหานคร,BKK,1,C
"100605","10240",สะพานสูง,เขตบางกะปิ,กรุงเทพมหานคร,BKK,1,C
"100606","10240",คันนายาว,เขตบางกะปิ,กรุงเทพมหานคร,BKK,1,C
"100607","10240",จรเข้บัว,เขตบางกะปิ,กรุงเทพมหานคร,BKK,1,C
"100608","10240",หัวหมาก,บางกะปิ,กรุงเทพมหานคร,BKK,1,C
"100700","10330","",ปทุมวัน,กรุงเทพมหานคร,BKK,1,C
"100701","10330",รองเมือง,ปทุมวัน,กรุงเทพมหานคร,BKK,1,C
"100702","10330",วังใหม่,ปทุมวัน,กรุงเทพมหานคร,BKK,1,C
"100703","10330",ปทุมวัน,ปทุมวัน,กรุงเทพมหานคร,BKK,1,C
