"key","code","name","behaviour","remark"
1,"8000","Neoplasm, benign","0","1"
2,"8000","Tumor, benign","0","2"
3,"8000","Unclassified tumor, benign","0","2"
4,"8000","Neoplasm, uncertain whether benign or malignant","1","1"
5,"8000","Neoplasm, NOS","1","2"
6,"8000","Tumor, NOS","1","2"
7,"8000","Unclassified tumor, borderline malignancy","1","2"
8,"8000","Unclassified tumor, uncertain whether","1","2"
9,"8000","Neoplasm, malignant","3","1"
10,"8000","Blastoma, NOS","3","2"
11,"8000",Cancer,"3","2"
12,"8000",Malignancy,"3","2"
13,"8000","Tumor, malignant, NOS","3","2"
14,"8000","Unclassified tumor, malignant","3","2"
15,"8001","Tumor cells, benign","0","1"
16,"8001","Tumor cells, uncertain whether benign or malignant","1","1"
17,"8001","Tumor cells, NOS","1","2"
18,"8001","Tumor cells, malignant","3","1"
19,"8002","Malignant tumor, small cell type","3","1"
20,"8003","Malignant tumor, giant cell type","3","1"
21,"8004","Malignant tumor, spindle cell type","3","1"
22,"8004","Malignant tumor, fusiform cell type","3","2"
23,"8005","Clear cell tumor, NOS","0","1"
24,"8005","Malignant tumor, clear cell type","3","1"
25,"8010","Epithelial tumor, benign","0","1"
26,"8010","Carcinoma in situ, NOS","2","1"
27,"8010","Intraepithelial carcinoma, NOS","2","2"
28,"8010","Carcinoma, NOS","3","1"
29,"8010",Carcinomatosis,"3","1"
30,"8010","Epithelial tumor, malignant","3","2"
31,"8011","Epithelioma, benign","0","1"
32,"8011","Epithelioma, malignant","3","1"
33,"8011","Epithelioma, NOS","3","2"
34,"8012","Large cell carcinoma, NOS","3","1"
35,"8013",Large cell neuroendocrine carcinoma,"3","1"
36,"8014",Large cell carcinoma with rhabdoid phenotype,"3","1"
37,"8015",Glassy cell carcinoma,"3","1"
38,"8015",Glassy cell carcinoma variant,"3","3"
39,"8020","Carcinoma, undifferentiated, NOS","3","1"
40,"8020",Undifferentiated carcinoma,"3","4"
41,"8021","Carcinoma, anaplastic, NOS","3","1"
42,"8021",Anaplastic carcinoma,"3","2"
43,"8021",Undifferentiated (anaplastic) carcinoma,"3","4"
44,"8022",Pleomorphic carcinoma,"3","1"
45,"8030",Giant cell and spindle cell carcinoma,"3","1"
46,"8031",Giant cell carcinoma,"3","1"
47,"8032","Spindle cell carcinoma, NOS","3","1"
48,"8032",Spindle cell carcinoma,"3","3"
49,"8033",Pseudosarcomatous carcinoma,"3","1"
50,"8033",Sarcomatoid carcinoma,"3","3"
51,"8033",Sarcomatous carcinoma,"3","3"
52,"8033",Carcinomsarcoma,"3","4"
53,"8034",Polygonal cell carcinoma,"3","1"
54,"8035",Carcinoma with osteoclast-like giant cells,"3","1"
55,"8035",Carcinoma with osteoclastic giant cells ,"3","3"
56,"8035",Undifferentiated carcinoma with osteoclast-like giant cells ,"3","3"
57,"8040","Tumorlet, benign","0","1"
58,"8040","Tumorlet, NOS","1","1"
59,"8041","Small cell carcinoma, NOS","3","1"
60,"8041",Reserve cell carcinoma,"3","2"
61,"8041",Round cell carcinoma,"3","2"
62,"8041",Small cell neuroendocrine carcinoma,"3","2"
63,"8041",Poorly-differentiated endocrine carcinoma - small cell carcinoma,"3","3"
64,"8041","Small cell carcinoma, neuroendocrine type","3","4"
65,"8041",Small cell carcinoma,"3","4"
66,"8041",Small cell carcinoma of neuroendocrine type,"3","4"
67,"8041","Small cell carcinoma, hypercalcaemic type","3","4"
68,"8041","Small cell carcinoma, neuroendocrine type","3","4"
69,"8041","Small cell carcinoma, pulmonary type","3","4"
70,"8042",Oat cell carcinoma,"3","1"
71,"8042",Small cell / oat cell carcinoma,"3","4"
72,"8043","Small cell carcinoma, fusiform cell","3","1"
73,"8044","Small cell carcinoma, intermediate cell","3","1"
74,"8045",Combined small cell carcinoma,"3","1"
75,"8045",Combined small cell-adenocarcinoma,"3","2"
76,"8045",Combined small cell-large cell carcinoma,"3","2"
77,"8045",Combined small cell-squamous cell carcinoma,"3","2"
78,"8045",Mixed small cell carcinoma,"3","2"
79,"8045","Combined small cell carcinoma, neuroendocrine type","3","4"
80,"8046",Non-small cell carcinoma,"3","1"
81,"8050","Papilloma, NOS (except papilloma of bladder)","0","1"
82,"8050",Papilloma,"0","3"
83,"8050",Papillary carcinoma in situ,"2","1"
84,"8050","Papillary carcinoma, NOS","3","1"
85,"8051",Verrucous papilloma,"0","1"
86,"8051","Verrucous carcinoma, NOS","3","1"
87,"8051",Condylomatous carcinoma,"3","2"
88,"8051",Verrucous epidermoid carcinoma,"3","2"
89,"8051",Verrucous squamous cell carcinoma,"3","2"
90,"8051",Warty carcinoma,"3","2"
91,"8051",Carcinoma cuniculatum,"3","3"
92,"8051",Verrucous carcinoma,"3","4"
93,"8051",Warty squamous cell carcinoma,"3","4"
94,"8052","Squamous cell papilloma, NOS","0","1"
95,"8052",Keratotic papilloma,"0","2"
96,"8052",Squamous papilloma,"0","2"
97,"8052",Exophytic squamous cell papilloma,"0","3"
98,"8052",Squamous cell papilloma,"0","4"
99,"8052",Micropapillomatosis,"0","4"
